month,state,city,sessions
2024-06,Indiana,Indianapolis,1
2024-06,Indiana,Oakland City,1
2024-06,Indiana,Pendleton,1
2024-06,Indiana,Rushville,1
2024-06,Indiana,Warsaw,1
2024-06,Iowa,Unknown,1
2024-06,Iowa,Ankeny,1
2024-06,Iowa,Des Moines,223
2024-06,Iowa,Fort Dodge,1
2024-06,Iowa,Milford,1
2024-06,Iowa,New Hampton,1
2024-06,Iowa,Sioux Center,1
2024-06,Kansas,Kansas City,1
2024-06,Kansas,Lawrence,1
2024-06,Kansas,Overland Park,1
2024-06,Kansas,Prairie Village,1
2024-06,Kansas,Topeka,1
2024-06,Kansas,Wichita,1
2024-06,Kentucky,Glasgow,2
2024-06,Kentucky,Lewisburg,1
2024-06,Kentucky,Lexington,1
2024-06,Kentucky,Newport,1
2024-06,Louisiana,Baton Rouge,1
2024-06,Louisiana,New Orleans,3
2024-06,Louisiana,Thibodaux,3
2024-06,Maine,Berwick,1
2024-06,Maine,Biddeford,2
2024-06,Maine,Caribou,1
2024-06,Maine,Dover-Foxcroft,1
2024-06,Maryland,Aberdeen,1
2024-06,Maryland,Baltimore,3
2024-06,Maryland,Chevy Chase,1
2024-06,Maryland,Crofton,1
2024-06,Maryland,Dundalk,1
2024-06,Maryland,Hyattsville,1
2024-06,Maryland,Lanham,2
2024-06,Maryland,Port Republic,1
2024-06,Maryland,Potomac,1
2024-06,Maryland,Rosedale,1
2024-06,Maryland,Silver Spring,1
2024-06,Maryland,Waldorf,1
2024-06,Massachusetts,Unknown,1
2024-06,Massachusetts,Arlington,2
2024-06,Massachusetts,Boston,4
2024-06,Massachusetts,Brewster,1
2024-06,Massachusetts,Brighton,1
2024-06,Massachusetts,Brockton,1
2024-06,Massachusetts,Brookline,3
2024-06,Massachusetts,Chestnut Hill,1
2024-06,Massachusetts,Granby,1
2024-06,Massachusetts,Hyde Park,1
2024-06,Massachusetts,Leominster,1
2024-06,Massachusetts,Mashpee,1
2024-06,Massachusetts,Methuen,1
2024-06,Massachusetts,Peabody,1
2024-06,Massachusetts,Quincy,1
2024-06,Massachusetts,Somerville,2
2024-06,Massachusetts,West Roxbury,1
2024-06,Massachusetts,Worcester,2
2024-06,Michigan,Belleville,1
2024-06,Michigan,Beverly Hills,2
2024-06,Michigan,Birmingham,1
2024-06,Michigan,Detroit,4
2024-06,Michigan,Escanaba,1
2024-06,Michigan,Fruitport,1
2024-06,Michigan,Grand Haven,1
2024-06,Michigan,Grand Rapids,1
2024-06,Michigan,Lansing,1
2024-06,Michigan,Marshall,1
2024-06,Michigan,New Baltimore,3
2024-06,Michigan,Pontiac,1
2024-06,Michigan,Reed City,1
2024-06,Michigan,Traverse City,1
2024-06,Michigan,Troy,2
2024-06,Michigan,Westland,1
2024-06,Minnesota,Champlin,1
2024-06,Minnesota,Chanhassen,1
2024-06,Minnesota,Circle Pines,1
2024-06,Minnesota,Lakeville,1
2024-06,Minnesota,Minneapolis,7
2024-06,Minnesota,Rochester,1
2024-06,Minnesota,Saint Cloud,1
2024-06,Minnesota,Saint Paul,1
2024-06,Minnesota,Waconia,1
2024-06,Minnesota,Wheaton,1
2024-06,Mississippi,Olive Branch,1
2024-06,Mississippi,Oxford,1
2024-06,Mississippi,Pontotoc,1
2024-06,Missouri,Joplin,1
2024-06,Missouri,Kansas City,11
2024-06,Missouri,Lamar,1
2024-06,Missouri,St Louis,4
2024-06,Missouri,Troy,1
2024-06,Montana,Livingston,1
2024-06,Nebraska,Bradshaw,2
2024-06,Nebraska,Minden,1
2024-06,Nebraska,Omaha,1
2024-06,Nevada,Las Vegas,23
2024-06,Nevada,North Las Vegas,3
2024-06,Nevada,Reno,4
2024-06,Nevada,Silver Springs,1
2024-06,Nevada,Sparks,1
2024-06,New Hampshire,Hillsboro Center,1
2024-06,New Hampshire,Portsmouth,1
2024-06,New Jersey,Bernardsville,1
2024-06,New Jersey,Cedar Knolls,2
2024-06,New Jersey,Cliffside Park,3
2024-06,New Jersey,Clifton,11
